Uptime,Volts,Temp,Door,I,N
2995,11.89,19.66,0,1,989
2998,11.89,19.66,0,1,990
3001,11.89,19.66,0,1,991
3004,11.89,19.75,0,1,992
3007,11.89,19.66,0,1,993
3010,11.89,19.57,0,1,994
3013,11.89,19.66,1,1,995
3016,11.89,19.83,1,1,996
3019,11.89,19.75,0,1,997
3022,11.89,17.94,0,1,998
3025,11.91,16.47,0,1,999
3028,11.89,15.35,0,1,1000
3031,11.89,14.22,0,1,1001
3034,11.89,13.27,0,1,1002
3037,11.89,12.39,1,1,1003
3040,11.91,11.60,0,1,1004
3043,11.89,10.98,0,1,1005
3046,11.89,10.44,0,1,1006
3049,11.89,9.82,0,1,1007
3052,11.89,9.46,0,1,1008
3055,11.89,8.92,0,1,1009
3058,11.89,8.55,0,1,1010
3061,11.89,8.28,0,1,1011
3064,11.89,7.92,0,1,1012
3067,11.89,7.73,0,1,1013
3070,11.89,7.36,0,1,1014
3073,11.94,7.18,0,1,1015
3076,11.89,7.09,0,1,1016
3079,11.89,6.90,0,1,1017
3082,11.89,6.72,0,1,1018
3085,11.89,6.62,0,1,1019
3089,11.89,6.44,0,1,1020
3092,11.91,6.25,0,1,1021
3095,11.89,6.34,0,1,1022
3098,11.89,6.16,0,1,1023
3101,11.89,6.06,0,1,1024
3104,11.89,6.06,0,1,1025
3107,11.89,5.97,0,1,1026
3110,11.89,5.97,0,1,1027
3113,11.89,5.69,0,1,1028
3116,11.89,5.78,0,1,1029
3119,11.89,5.69,0,1,1030
3122,11.91,5.69,0,1,1031
3125,11.89,5.59,0,1,1032
3128,11.91,5.50,0,1,1033
3131,11.89,5.59,0,1,1034
3134,11.89,5.59,0,1,1035
3137,11.89,5.50,0,1,1036
3140,11.89,5.31,0,1,1037
3143,11.91,5.40,0,1,1038
3146,11.89,5.40,0,1,1039
3149,11.89,5.59,0,1,1040
3152,11.89,5.40,0,1,1041
3155,11.89,5.40,0,1,1042
3158,11.89,5.40,0,1,1043
3161,11.89,5.40,0,1,1044
3164,11.91,5.21,0,1,1045
3167,11.89,5.21,0,1,1046
3170,11.89,5.31,0,1,1047
3173,11.89,5.31,0,1,1048
3176,11.89,5.31,0,1,1049
3179,11.89,5.31,0,1,1050
3182,11.89,5.21,0,1,1051
3185,11.89,5.12,0,1,1052
3188,11.89,5.02,0,1,1053
3192,11.89,5.21,0,1,1054
3195,11.89,5.40,0,1,1055
3198,11.89,5.21,0,1,1056
3201,11.89,5.31,0,1,1057
3204,11.89,5.12,0,1,1058
3207,11.89,5.31,0,1,1059
3210,11.89,5.12,0,1,1060
3213,11.89,5.21,0,1,1061
3216,11.89,5.12,0,1,1062
3219,11.89,5.21,0,1,1063
3222,11.89,5.02,0,1,1064
3225,11.89,5.31,0,1,1065
3228,11.89,5.12,0,1,1066
3231,11.89,5.21,0,1,1067
3234,11.89,5.12,0,1,1068
3237,11.89,5.12,0,1,1069
3240,11.89,5.12,0,1,1070
3243,11.89,5.40,0,1,1071
3246,11.89,5.21,0,1,1072
3249,11.89,5.21,0,1,1073
3252,11.89,5.21,0,1,1074
3255,11.89,5.12,0,1,1075
3258,11.89,5.31,0,1,1076
3261,11.89,5.02,0,1,1077
3264,11.89,5.12,0,1,1078
3267,11.91,5.12,0,1,1079
3270,11.89,4.93,0,1,1080
3273,11.89,5.21,0,1,1081
3276,11.89,4.93,0,1,1082
3279,11.89,5.21,0,1,1083
3283,11.89,5.12,0,1,1084
3286,11.89,5.12,0,1,1085
3289,11.89,5.02,0,1,1086
3292,11.89,5.12,0,1,1087
3295,11.89,5.12,0,1,1088
3298,11.89,5.21,0,1,1089
3301,11.89,5.21,0,1,1090
3304,11.86,5.21,0,1,1091
3307,11.89,5.12,0,1,1092
3310,11.89,5.02,0,1,1093
3313,11.89,5.31,0,1,1094
3316,11.89,5.12,0,1,1095
3319,11.89,5.12,0,1,1096
3322,11.89,5.12,0,1,1097
3325,11.89,5.21,0,1,1098
3328,11.89,5.31,0,1,1099
3331,11.89,4.93,0,1,1100
3334,11.89,5.12,0,1,1101
3337,11.89,5.02,0,1,1102
3340,11.89,5.12,0,1,1103
3343,11.86,5.12,0,1,1104
3346,11.89,5.02,0,1,1105
3350,11.89,5.02,0,1,1106
3353,11.89,5.12,0,1,1107
3356,11.89,5.21,0,1,1108
3359,11.89,5.12,0,1,1109
3362,11.89,5.21,0,1,1110
3365,11.89,5.31,0,1,1111
3368,11.89,5.02,0,1,1112
3371,11.89,5.12,0,1,1113
3374,11.89,5.12,0,1,1114
3377,11.89,4.93,0,1,1115
3380,11.89,5.21,0,1,1116
3383,11.89,5.21,0,1,1117
3386,11.89,5.21,0,1,1118
3389,11.89,5.21,0,1,1119
3392,11.89,5.12,0,1,1120
3395,11.89,5.21,0,1,1121
3398,11.89,5.12,0,1,1122
3401,11.89,5.12,0,1,1123
3404,11.89,5.12,0,1,1124
3407,11.89,5.12,0,1,1125
3410,11.89,5.12,0,1,1126
3413,11.89,5.02,0,1,1127
3416,11.89,5.12,0,1,1128
3419,11.89,5.02,0,1,1129
3422,11.89,5.12,0,1,1130
3425,11.89,5.21,0,1,1131
3428,11.89,5.12,0,1,1132
3431,11.89,5.21,0,1,1133
3434,11.89,5.21,0,1,1134
3437,11.89,5.12,0,1,1135
3440,11.89,5.02,0,1,1136
3443,11.89,5.02,0,1,1137
3446,11.89,5.12,0,1,1138
3449,11.89,5.21,0,1,1139
3453,11.89,4.93,0,1,1140
3456,11.89,5.02,0,1,1141
3459,11.89,5.12,0,1,1142
3462,11.89,5.12,0,1,1143
3465,11.89,5.12,0,1,1144
3468,11.89,5.12,0,1,1145
3471,11.89,5.12,0,1,1146
3474,11.89,5.12,0,1,1147
3477,11.89,5.12,0,1,1148
3480,11.89,5.12,0,1,1149
3483,11.89,5.02,0,1,1150
3486,11.89,5.02,0,1,1151
3489,11.89,5.12,0,1,1152
3492,11.89,5.12,0,1,1153
3495,11.89,5.02,0,1,1154
3498,11.89,5.12,0,1,1155
3501,11.89,5.02,0,1,1156
3504,11.89,5.12,0,1,1157
3507,11.89,5.12,0,1,1158
3510,11.89,5.12,0,1,1159
3513,11.89,5.12,0,1,1160
3516,11.89,5.21,0,1,1161
3519,11.89,5.21,0,1,1162
3522,11.89,5.02,0,1,1163
3525,11.89,4.93,0,1,1164
3528,11.86,5.12,0,1,1165
3531,11.86,5.02,0,1,1166
3534,11.89,5.21,0,1,1167
3537,11.89,5.12,0,1,1168
3540,11.89,5.21,0,1,1169
3543,11.89,5.12,0,1,1170
3546,11.89,5.12,0,1,1171
3549,11.89,5.21,0,1,1172
3552,11.89,5.02,0,1,1173
3556,11.89,5.02,0,1,1174
3559,11.86,5.02,0,1,1175
3562,11.86,5.12,0,1,1176
3565,11.89,5.02,0,1,1177
3568,11.86,5.02,0,1,1178
3571,11.89,5.02,0,1,1179
3574,11.89,5.02,0,1,1180
3577,11.86,5.12,0,1,1181
3580,11.89,5.31,0,1,1182
3583,11.89,5.02,0,1,1183
3586,11.86,5.02,0,1,1184
3589,11.89,5.12,0,1,1185
3592,11.89,5.12,0,1,1186
3595,11.89,5.02,0,1,1187
3598,11.86,5.12,0,1,1188
3601,11.89,4.93,0,1,1189
3604,11.89,5.21,0,1,1190
3607,11.89,5.02,0,1,1191
3610,11.89,5.02,0,1,1192
3613,11.86,5.02,0,1,1193
3616,11.89,5.02,0,1,1194
3619,11.86,5.02,0,1,1195
3622,11.89,5.02,0,1,1196
3625,11.89,5.12,0,1,1197
3628,11.89,5.02,0,1,1198
3631,11.89,5.21,0,1,1199
3634,11.86,5.12,0,1,1200
3637,11.89,5.21,0,1,1201
3640,11.89,5.12,0,1,1202
3643,11.89,5.02,0,1,1203
3646,11.89,5.12,0,1,1204
3649,11.89,5.02,0,1,1205
3652,11.89,5.02,0,1,1206
3655,11.89,5.12,0,1,1207
3658,11.86,5.02,0,1,1208
3662,11.89,5.02,0,1,1209
3665,11.89,5.12,0,1,1210
3668,11.89,5.12,0,1,1211
3671,11.89,5.02,0,1,1212
3674,11.89,5.02,0,1,1213
3677,11.89,5.02,0,1,1214
3680,11.89,5.12,0,1,1215
3683,11.89,5.02,0,1,1216
3686,11.86,5.21,0,1,1217
3689,11.89,5.02,0,1,1218
3692,11.89,5.02,0,1,1219
3695,11.89,5.02,0,1,1220
3698,11.89,5.12,0,1,1221
3701,11.89,5.02,0,1,1222
3704,11.89,5.12,0,1,1223
3707,11.89,5.02,0,1,1224
3710,11.89,5.12,0,1,1225
3713,11.89,4.83,0,1,1226
3716,11.89,5.12,0,1,1227
3719,11.89,5.02,0,1,1228
3722,11.89,5.21,0,1,1229
3725,11.89,5.12,0,1,1230
3728,11.89,5.12,0,1,1231
3731,11.89,5.12,0,1,1232
3734,11.89,4.93,0,1,1233
3737,11.89,5.02,0,1,1234
3740,11.86,5.02,0,1,1235
3743,11.89,5.12,0,1,1236
3746,11.89,5.02,0,1,1237
3749,11.89,5.02,0,1,1238
3752,11.89,5.12,0,1,1239
3755,11.89,5.02,0,1,1240
3758,11.89,5.02,0,1,1241
3762,11.89,5.02,0,1,1242
3765,11.86,5.02,0,1,1243
3768,11.89,5.12,0,1,1244
3771,11.89,5.21,0,1,1245
3774,11.89,5.12,0,1,1246
3777,11.89,4.93,0,1,1247
3780,11.89,5.12,0,1,1248
3783,11.89,5.12,0,1,1249
3786,11.89,5.12,0,1,1250
3789,11.89,5.02,0,1,1251
3792,11.89,5.12,0,1,1252
3795,11.86,5.21,0,1,1253
3798,11.86,5.12,0,1,1254
3801,11.86,5.02,0,1,1255
3804,11.86,5.12,0,1,1256
3807,11.89,5.12,0,1,1257
3810,11.89,5.12,0,1,1258
3813,11.89,5.12,0,1,1259
3816,11.86,5.21,0,1,1260
3819,11.86,5.12,0,1,1261
3822,11.86,5.02,0,1,1262
3825,11.89,5.12,0,1,1263
3828,11.86,5.21,0,1,1264
3831,11.89,5.02,0,1,1265
3834,11.89,5.12,0,1,1266
3837,11.89,5.02,0,1,1267
3840,11.89,4.93,0,1,1268
3843,11.86,5.12,0,1,1269
3846,11.86,5.12,0,1,1270
3849,11.89,4.83,0,1,1271
3852,11.89,5.12,0,1,1272
3855,11.89,5.02,0,1,1273
3858,11.89,5.02,0,1,1274
3861,11.86,4.93,0,1,1275
3865,11.89,5.02,0,1,1276
3868,11.86,5.02,0,1,1277
3871,11.86,5.12,0,1,1278
3874,11.86,5.12,0,1,1279
3877,11.86,5.21,0,1,1280
3880,11.86,5.21,0,1,1281
3883,11.89,5.02,0,1,1282
3886,11.86,5.02,0,1,1283
3889,11.89,5.02,0,1,1284
3892,11.86,5.02,0,1,1285
3895,11.86,4.93,0,1,1286
